Seafood,,,,chili,,hake
lasagne,,,,burger,,sole
squash soup,,,,stew,,goulash
artichoke,,,,prime rib,,cioppino
spaghetti,,,,beef ribs,,japanese
duck breast,,,,cod,,
caviar,,,,crab,,
apple tart,,,,clams,,
lamb cutlets,,,,salad,,
duck breast,,,,brisket,,
lobster,,,,gumbo,,
truffles,,,,meatloaf,,
scallops,,,,paella,,
vietnamese spring roll,,,,empanada,,
risotto,,,,spanish,,
coconut shrimp,,,,pho,,
falafel,,,,chole,,
red beans,,,,caribbean,,
souvlaki,,,,jerk chicken,,
quesadillas,,,,african,,
pad thai,,,,piri piri chicken,,
sausage,,,,bunny chow,,
moussaka,,,,asian,,
crawfish,,,,gazpacho,,
goat cheese,,,,,,
tuscan pasta,,,,,,
vegetables,,,,,,
popcorn,,,,,,
dark chocolate,,,,,,
tortilla chips,,,,,,
mushroom,,,,,,
white meat,,,,,,
caesar salad,,,,,,
